type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	5	'Canada'	'United States of America'	265	15.89425487	3.967610063	0.346441089	0	4	1	0	2012
4	1	'Japan'	'China'	1791	13.22722814	3.484203425	0.345944553	0	2	1	1	2012
4	1	'Indonesia'	'Indonesia'	3343	8.19780885	3.708856815	0.345046125	1	1	1	1	2012
4	5	'China'	'Panama'	64	17.12393375	20.00520833	0.343884888	0	1	0	0	2012
7	4	'China'	'China'	1942	10.20024645	2.532590972	0.342083538	1	2	0	1	2012
4	5	'United States of America'	'Egypt'	64	18.33710142	14.73632813	0.339766232	0	2	0	0	2012
4	4	'Singapore'	'Brazil'	74	17.35245219	22.47184685	0.335498607	0	2	0	1	2012
4	5	'Egypt'	'Egypt'	474	9.704019322	2.352144866	0.334699031	1	4	0	1	2012
1	2	'Japan'	'Japan'	1739	8.781368438	4.703373586	0.333370709	1	4	0	0	2012
4	5	'China'	'Malaysia'	322	14.44232927	4.1875	0.330261767	0	2	0	1	2012
1	5	'South Africa'	'China'	99	11.11140116	31.26809764	0.328977141	0	2	1	1	2012
4	6	'Egypt'	'China'	39	16.50708149	29.05021368	0.327503957	0	3	0	1	2012
1	3	'China'	'Singapore'	430	11.30032719	11.17335271	0.323250428	0	2	1	0	2012
7	7	'Nigeria'	'United States of America'	103	12.32004567	21.25404531	0.322567634	0	2	0	1	2012
4	4	'United States of America'	'Spain'	124	15.97035937	11.84744624	0.316140362	0	2	1	1	2012
1	3	'Panama'	'China'	124	12.21609785	32.91397849	0.313961023	0	4	0	1	2012
4	4	'Egypt'	'United States of America'	76	18.22127636	13.19846491	0.312581882	0	4	0	1	2012
1	3	'Singapore'	'India'	555	11.88018465	8.430630631	0.310812865	0	4	0	0	2012
1	4	'Australia'	'Indonesia'	116	12.06983341	27.1016523	0.308060724	0	4	1	0	2012
1	5	'Singapore'	'South Africa'	241	11.89311097	18.96248271	0.307387048	0	2	1	0	2012
4	6	'China'	'Singapore'	231	15.02968124	4.139249639	0.305312683	0	3	1	1	2012
1	5	'South Africa'	'Singapore'	112	11.27604733	21.97730655	0.302186385	0	1	1	0	2012
1	3	'India'	'India'	2096	7.239129088	3.224057729	0.302049128	1	2	1	1	2012
4	5	'Sri Lanka'	'Egypt'	106	18.44384853	7.72995283	0.300919095	0	1	0	0	2012
1	4	'United States of America'	'China'	170	11.77454783	22.38014706	0.300031589	0	3	1	1	2012
7	1	'Japan'	'Japan'	3843	9.016777625	3.009443577	0.297106189	1	3	1	1	2012
1	3	'Singapore'	'China'	492	11.02897219	9.075457317	0.297008116	0	3	0	0	2012
1	2	'Canada'	'Canada'	3554	8.306719796	1.793648002	0.295490146	1	4	1	1	2012
4	5	'Hong Kong S.A.R.'	'United States of America'	54	16.51819546	15.97608025	0.295014694	0	3	0	1	2012
1	3	'Panama'	'Japan'	130	12.08312657	30.29038462	0.294152733	0	4	0	1	2012
7	7	'Brazil'	'Brazil'	1096	6.56003381	2.75589264	0.294064009	1	1	1	0	2012
1	5	'Australia'	'South Korea'	140	11.9623958	18.01964286	0.291334378	0	2	1	0	2012
7	6	'Venezuela'	'United States of America'	270	10.65710273	10.24783951	0.290272456	0	1	1	0	2012
1	3	'Australia'	'China'	261	11.74028	17.19029374	0.28942437	0	4	0	0	2012
4	4	'Panama'	'Taiwan'	47	17.61990766	22.22960993	0.284345155	0	1	1	1	2012
